size,trials,mean_ms,median_ms,stddev_ms,min_ms,max_ms,fit_n_ms,fit_n_log_n_ms,fit_n_squared_ms
10000,12,0.601083333,0.581850000,0.079756856,0.528900000,0.814700000,0.491287388,0.408412390,0.149732249
20000,12,1.171283333,1.048800000,0.248632850,0.934400000,1.670500000,0.982574777,0.878296971,0.598928997
40000,12,1.541900000,1.506100000,0.078096176,1.495900000,1.764200000,1.965149554,1.879538322,2.395715988
80000,12,3.661516667,3.546150000,0.251556518,3.470100000,4.166600000,3.930299107,4.004965404,9.582863951
160000,12,7.909841667,7.855150000,0.405845305,7.327800000,9.024100000,7.860598214,8.501708328,38.331455804
320000,12,16.286950000,16.143650000,0.527599193,15.548300000,17.270100000,15.721196429,17.986971696,153.325823214
640000,12,33.449691667,33.122050000,1.196933216,32.328000000,36.654900000,31.442392857,37.941053474,613.303292857
