size,trials,mean_ms,median_ms,stddev_ms,min_ms,max_ms,fit_n_ms,fit_n_log_n_ms,fit_n_squared_ms
10000,12,0.683408333,0.659350000,0.064948825,0.652700000,0.877200000,0.768973549,0.628978872,0.195764134
20000,12,1.389450000,1.365550000,0.052978478,1.343700000,1.516500000,1.537947098,1.352628498,0.783056536
40000,12,3.066133333,2.931450000,0.482467333,2.746000000,4.574700000,3.075894196,2.894598504,3.132226144
80000,12,6.667450000,6.173350000,0.735697331,6.107000000,7.902800000,6.151788393,6.167880022,12.528904576
160000,12,12.875733333,12.735650000,0.422035979,12.456800000,13.724300000,12.303576786,13.093126074,50.115618304
320000,12,26.794008333,26.620450000,0.945133868,25.762500000,28.858000000,24.607153571,27.700984205,200.462473214
640000,12,58.170808333,58.130650000,1.197829213,56.623800000,60.270800000,49.214307143,58.431432526,801.849892857
