size,trials,mean_ms,median_ms,stddev_ms,min_ms,max_ms,fit_n_ms,fit_n_log_n_ms,fit_n_squared_ms
500,12,0.094025000,0.094800000,0.004075230,0.082200000,0.099600000,0.093685938,0.074098934,0.028139638
1000,12,0.141416667,0.135900000,0.008511045,0.134400000,0.157700000,0.187371875,0.164727138,0.112558550
2000,12,0.171183333,0.161350000,0.023185765,0.160400000,0.240100000,0.374743750,0.362512815,0.450234201
4000,12,0.645758333,0.636450000,0.028962278,0.632900000,0.736800000,0.749487500,0.791142709,1.800936806
6000,12,1.491341667,1.478550000,0.069161175,1.414800000,1.657200000,1.124231250,1.244728081,4.052107813
8000,12,2.634275000,2.500150000,0.247864945,2.483000000,3.216100000,1.498975000,1.714519576,7.203747222
